City,County,Place,lat,lon,Location,hotel_id
Goa,India,The Sapphire Comfort Hotel,15.287703699999998,73.9548808,"The Sapphire Comfort Hotel,Goa,India",11839207817494349849
Goa,India,Hotel Shanbag,15.589847,73.94635,"Hotel Shanbag,Goa,India",12110290496967754513
Goa,India,Anand's  Hotel Nest,15.262485,73.944115,"Anand's  Hotel Nest,Goa,India",8475929337058708960
Goa,India,Hotel Karmali,15.478092000000002,73.92365600000002,"Hotel Karmali,Goa,India",4117615080904214070
Goa,India,Hotel Vasco,15.398602,73.82861,"Hotel Vasco,Goa,India",8674370898634031827
Goa,India,Hotel Supreme,15.3992838,73.8187625,"Hotel Supreme,Goa,India",896618920506837218
Goa,India,Hotel Anantashram,15.398416,73.812515,"Hotel Anantashram,Goa,India",13530990227086855058
Goa,India,Hotel Manish,15.399773,73.81523,"Hotel Manish,Goa,India",3355721833306475300
Goa,India,Hotel Urvanshi,15.39895,73.81243,"Hotel Urvanshi,Goa,India",15120300707695838755
Goa,India,The Karma Plaza Hotel,15.396968,73.81134,"The Karma Plaza Hotel,Goa,India",9099208908469453967
Goa,India,Hotel Rukhmini,15.3973179,73.8120843,"Hotel Rukhmini,Goa,India",1498603460216507526
Goa,India,Hotel Camphor,15.52263,73.821236,"Hotel Camphor,Goa,India",17540561247850611065
Goa,India,Little Hotel,15.598397,73.76096,"Little Hotel,Goa,India",6778312357370023588
Goa,India,The Heritage Goa Hotel,15.612822,73.76905500000002,"The Heritage Goa Hotel,Goa,India",1434661426320526482
Goa,India,"Cavala Hotel, Calangute-Baga Road, Baga - Saunta Vaddo",15.56146,73.752616,"Cavala Hotel, Calangute-Baga Road, Baga - Saunta Vaddo,Goa,India",3470583988197936303
Goa,India,Hotel Priti International,15.594053,73.823798,"Hotel Priti International,Goa,India",1205533278635903170
Goa,India,Hotel Hilton,15.496747,73.88409,"Hotel Hilton,Goa,India",14067174960536046975
Goa,India,Hotel Atmaran,15.593716,73.80553499999998,"Hotel Atmaran,Goa,India",5322684481541324912
Goa,India,Hotel Pratibha Bar And Restaurant,15.609814000000002,73.82441800000002,"Hotel Pratibha Bar And Restaurant,Goa,India",17445526374167103716
Goa,India,Sharvani Cook's Pot Hotel,15.618668,73.837456,"Sharvani Cook's Pot Hotel,Goa,India",623621788326773489
Goa,India,Hotel Top,15.4009,74.012814,"Hotel Top,Goa,India",2472768649799485566
Goa,India,Hotel Menino,15.3999991,74.0050773,"Hotel Menino,Goa,India",9021057962371401666
Goa,India,Sneha Hotel,15.529252,74.134612,"Sneha Hotel,Goa,India",4738328348719662395
Goa,India,Hotel Rahi for Village Food,15.4112835,74.02523000000002,"Hotel Rahi for Village Food,Goa,India",9937171549678028001
Goa,India,Hotel Sungrace,15.399055,74.003289,"Hotel Sungrace,Goa,India",17740333741990628390
Goa,India,Hotel Shaurya,15.502328,73.861103,"Hotel Shaurya,Goa,India",1127564907932434475
Goa,India,Bhalekar's Mahalalaxmi Hotel At Banda,15.801310999999998,73.86455699999998,"Bhalekar's Mahalalaxmi Hotel At Banda,Goa,India",8701663158193504843
Goa,India,Hotel Shaurya Family Bar & Restaurant,15.501848999999998,73.861334,"Hotel Shaurya Family Bar & Restaurant,Goa,India",10703578889611987305
Goa,India,Hotel Empire,15.778574,73.857679,"Hotel Empire,Goa,India",15639974484333905563
Goa,India,Hotel Casablanca,15.718796,73.799992,"Hotel Casablanca,Goa,India",178368883242648443
Goa,India,Hotel Shangrila,15.31291,73.907715,"Hotel Shangrila,Goa,India",8319191357799548822
Goa,India,Serene Waters Hotel,15.498023000000002,73.86264,"Serene Waters Hotel,Goa,India",4553557706831447324
Goa,India,Hotel River Sal,15.1374408,73.95634240000003,"Hotel River Sal,Goa,India",8154205430876291597
Goa,India,Hotel Ganesh Bhuvan,15.2688688,73.96555699999998,"Hotel Ganesh Bhuvan,Goa,India",886919378124489178
Goa,India,Hotel Damodar Bar and Restaurant,15.328237,73.933464,"Hotel Damodar Bar and Restaurant,Goa,India",10335769639692027933
Goa,India,Sairam Hotel & General Store,15.644570000000002,73.8402,"Sairam Hotel & General Store,Goa,India",16781147568437675700
Goa,India,Hotel Zaika,15.616654,73.8224,"Hotel Zaika,Goa,India",14915174340563911656
Goa,India,Hotel River Kushwati,15.2204583,74.0686387,"Hotel River Kushwati,Goa,India",5194684372379059113
Goa,India,Sachi Hotel,15.613676000000002,74.07229,"Sachi Hotel,Goa,India",558691356824914500
Goa,India,Hotel Yuvraj,15.22066,74.08627,"Hotel Yuvraj,Goa,India",16674473930179759546
Goa,India,Sai Raj Hotel,15.21707,74.08652,"Sai Raj Hotel,Goa,India",10648669227768300622
Goa,India,Sangam Hotel,15.24025,74.12442,"Sangam Hotel,Goa,India",12135014322110483387
Goa,India,Chatrapati Hotel,15.2575,74.1085,"Chatrapati Hotel,Goa,India",6737651649689700660
Goa,India,Hotel vrindavan,15.4979323,73.83546329999999,"Hotel vrindavan,Goa,India",5019461423473904045
Goa,India,Hotel Priya,15.2465964,73.9712698,"Hotel Priya,Goa,India",219711562890170316
Goa,India,Gopika Hotel,15.316529199999998,73.94280079999999,"Gopika Hotel,Goa,India",11609485209541167943
Goa,India,Hotel Mandarin,15.590435199999998,73.8146656,"Hotel Mandarin,Goa,India",13079785008285830779
Goa,India,Kanta Hotel,15.272482,73.975319,"Kanta Hotel,Goa,India",13705756224369476945
Goa,India,The O Hotel,15.506022,73.76850300000002,"The O Hotel,Goa,India",5133956206729907466
Goa,India,Maha Laxmi Hotel,15.6008086,73.73396540000002,"Maha Laxmi Hotel,Goa,India",630994377929019210
Goa,India,Escort Hotel,15.2719345,73.95725300000002,"Escort Hotel,Goa,India",11429105078420980459
Goa,India,Mohan Hotel,15.22352,73.99167,"Mohan Hotel,Goa,India",10081141302957657311
Goa,India,Manoranjan Hotel,15.20127,73.99743000000002,"Manoranjan Hotel,Goa,India",1908125548583208269
Goa,India,Casa De Carmona Hotel,15.19516,73.95519,"Casa De Carmona Hotel,Goa,India",14509973580270552182
Goa,India,Namarati Hotel,15.18415,74.01241,"Namarati Hotel,Goa,India",10669078659106490907
Goa,India,Sahyadri Garden Hotel,15.17301,73.98398,"Sahyadri Garden Hotel,Goa,India",8969751202916485150
Goa,India,Hotel Gomati,15.271970800000002,73.9563968,"Hotel Gomati,Goa,India",10101975703600516858
Goa,India,Udupi Hotel Sureksha,15.2558258,73.9665275,"Udupi Hotel Sureksha,Goa,India",13761891813123247591
Goa,India,Hotel Sawan,15.527177300000002,73.82649649999998,"Hotel Sawan,Goa,India",5889281564328608835
Goa,India,Hotel Renuka,15.464469,73.8558536,"Hotel Renuka,Goa,India",15313307539751518932
Goa,India,Deepak Hotel,15.464543,73.85526709999998,"Deepak Hotel,Goa,India",9930746339482615847
Goa,India,Hotel Sagar,15.5208552,73.82814909999998,"Hotel Sagar,Goa,India",8893550258334484164
Goa,India,City Hotel Lodge,15.525349599999998,73.826559,"City Hotel Lodge,Goa,India",4505790913284096112
Goa,India,Uttam Hotel and Fast Food,15.5239898,73.8281061,"Uttam Hotel and Fast Food,Goa,India",695544388795780546
Goa,India,Hotel mandovi,15.451855800000002,73.9231179,"Hotel mandovi,Goa,India",17061989105807214692
Goa,India,Hotel navdurga,15.5008644,73.91359,"Hotel navdurga,Goa,India",17059420117771177133
Goa,India,Hotel vijaya,15.4440923,73.9150892,"Hotel vijaya,Goa,India",611182466265468163
