,Place,city,County,lat,lon,cordinates,Location,_id
96,Shri Lakshmi Narasimha Temple,Goa,India,15.4330669,73.9726205182159,"(15.4330669, 73.9726205182159)","Shri Lakshmi Narasimha Temple, Belgaum - Panaji Highway, Mardol, North Goa, Goa, 403404, भारत",334328512159876868593575124295919203622
97,Shro Shanteri Temple,Goa,India,15.4401894,73.972484,"(15.4401894, 73.972484)","Shro Shanteri Temple, Belgaum - Panaji Highway, Mardol, North Goa, Goa, 403404, भारत",193526424153438500055377949490058547495
98,Shri Damodar Temple,Goa,India,15.18659525,74.09459962983759,"(15.18659525, 74.0945996298376)","Shri Damodar Temple, Zambaulim, South Goa, Goa, भारत",80991282544777382608789967324813881367
99,Hindu Temple,Goa,India,15.272574,73.9540875,"(15.272574, 73.9540875)","Hindu temple, NH66, Aquem, Fatorda, Margao, South Goa, Goa, 403600, भारत",333328081829619375512108297290980684509
100,Saibaba Temple,Goa,India,15.49473125,73.8256327282623,"(15.49473125, 73.8256327282623)","Saibaba Temple, Nu Road, Patto Centre, Panaji, North Goa, Goa, 403100, भारत",88008101012675036608639119793909451226
101,Mahalakshimi Temple,Goa,India,15.49585555,73.8265887241974,"(15.49585555, 73.8265887241974)","Mahalakshimi Temple, Dr Dada Vaidya Road, Patto Centre, Panaji, North Goa, Goa, 403100, भारत",63651998666325043967843167417401908523
102,Maruti Temple,Goa,India,15.49008125,73.8283255668392,"(15.49008125, 73.8283255668392)","Maruti Temple, Rua 31 de Janeiro, Patto Centre, Panaji, North Goa, Goa, 403100, भारत",125429833561631066555117239380364825508
103,Shri Siddhivinayak Temple,Goa,India,15.56238405,74.01566675,"(15.56238405, 74.01566675)","Shri Siddhivinayak Temple, NH748AA, Sankhali, North Goa, Goa, 403505, भारत",28715124068500354338043479658409945930
104,Radha Krishna Temple,Goa,India,15.5610122,74.0121665959408,"(15.5610122, 74.0121665959408)","Radha Krishna Temple, NH748AA, Sankhali, North Goa, Goa, 403505, भारत",154606187829425040862163821315259767236
105,Bramharastroli Temple,Goa,India,15.5594712,74.0252048,"(15.5594712, 74.0252048)","Bramharastroli Temple, NH748AA, Sankhali, North Goa, Goa, 403505, भारत",81182108361470295820990266252193582462
