,Place,city,County,lat,lon,cordinates,Location,_id
31,Calangute Beach,Goa,India,15.54265255,73.7556325938762,"('15.54265255', '73.7556325938762')","Calangute Beach,Goa,India",328167266646342439092824811362882791737
32,Colva Beach Circle,Goa,India,15.2765302,73.91454949999998,"('15.2765302', '73.9145495')","Colva Beach Circle,Goa,India",84130971479722683067968574902775566912
33,Colva Beach Tavern,Goa,India,15.2772392,73.92088340000002,"('15.2772392', '73.9208834')","Colva Beach Tavern,Goa,India",157813873127895369187999060768233882445
34,Lucky Star Beach Sack,Goa,India,15.6393021,73.7200615,"('15.6393021', '73.7200615')","Lucky Star Beach Sack,Goa,India",87217570692675484102858149207807831198
35,BETTY'S Beach Shade,Goa,India,15.1592496,73.9448353,"('15.1592496', '73.9448353')","BETTY'S Beach Shade,Goa,India",132416867863446846596840504920232297006
36,Tiara Fiesta Beach Cottages Morjim,Goa,India,15.6227699,73.731923,"('15.6227699', '73.731923')","Tiara Fiesta Beach Cottages Morjim,Goa,India",106142607376557434285963377803598105049
37,Candolim Beach,Goa,India,15.5179016,73.7628157311448,"('15.5179016', '73.7628157311448')","Candolim Beach,Goa,India",115550828027322593294209699514169325500
38,Calangute Beach,Goa,India,15.54265255,73.7556325938762,"('15.54265255', '73.7556325938762')","Calangute Beach,Goa,India",76770132230724117009377289029290042612
39,Siridao Beach,Goa,India,15.4309011,73.8620418,"('15.4309011', '73.8620418')","Siridao Beach,Goa,India",258906056769952536174061139242227496503
40,My Beach Holiday,Goa,India,15.599067000000002,73.7425775,"('15.599067', '73.7425775')","My Beach Holiday,Goa,India",57461953763061890595820109055836352320
41,Pash Beach Arcade,Goa,India,15.2609238,73.929291,"('15.2609238', '73.929291')","Pash Beach Arcade,Goa,India",337529590352048856757094299612604577803
42,Rocky Beach,Goa,India,42.86542,-79.13083,"('42.86542', '-79.13083')","Rocky Beach,Goa,India",6045749569822863432524709936738267698
43,Bogmalo Beach,Goa,India,15.36951635,73.8341883309508,"('15.36951635', '73.8341883309508')","Bogmalo Beach,Goa,India",244561319888946003827913780803319496572
44,Agonda Beach,Goa,India,15.03116485,73.9909064615255,"('15.03116485', '73.9909064615255')","Agonda Beach,Goa,India",77964426568458778845057582855271212029
45,Miramar Beach,Goa,India,30.374367,-86.3585578,"('30.374367', '-86.3585578')","Miramar Beach,Goa,India",160867905326017122302079607974795317819
46,Marivel Beach,Goa,India,15.45585225,73.79800962058341,"('15.45585225', '73.7980096205834')","Marivel Beach,Goa,India",162985699584033117455349538012649135809
47,Hawaii Beach,Goa,India,15.4547363,73.80430039488309,"('15.4547363', '73.8043003948831')","Hawaii Beach,Goa,India",271765775170364214760918065899228014052
48,Ozran Beach,Goa,India,15.59387405,73.734467735577,"('15.59387405', '73.734467735577')","Ozran Beach,Goa,India",207125126315036709642825076684914541182
49,Big Vagator Beach,Goa,India,15.600350699999998,73.7335394310053,"('15.6003507', '73.7335394310053')","Big Vagator Beach,Goa,India",162940082034981178903224989121142565237
50,Anjuna Beach,Goa,India,15.57442965,73.7406635466313,"('15.57442965', '73.7406635466313')","Anjuna Beach,Goa,India",320990376576619634785671965505571318518
51,Chapora Beach,Goa,India,15.6061723,73.73297836236159,"('15.6061723', '73.7329783623616')","Chapora Beach,Goa,India",168221520023871291291801335358327676014
52,Aguada Beach,Goa,India,15.49789245,73.7663840168944,"('15.49789245', '73.7663840168944')","Aguada Beach,Goa,India",193647757972321430381693909706994984624
53,Aguada Beach,Goa,India,15.49789245,73.7663840168944,"('15.49789245', '73.7663840168944')","Aguada Beach,Goa,India",316122093679465998101350276039103300105
54,Agonda Beach,Goa,India,15.03116485,73.9909064615255,"('15.03116485', '73.9909064615255')","Agonda Beach,Goa,India",33507993746863134521228236541778549399
55,Patnam Beach,Goa,India,14.99710825,74.03382930569009,"('14.99710825', '74.0338293056901')","Patnam Beach,Goa,India",87689894720728006904668599629742640300
56,Rajbag Beach,Goa,India,14.98904155,74.0374453333017,"('14.98904155', '74.0374453333017')","Rajbag Beach,Goa,India",151647680546639724587003769250636280345
