City,County,Place,lat,lon,rest_id,Location
Goa,India,The Baggies Rest,15.29469,73.9074907,14222466331021952030,"The Baggies Rest,Goa,India"
Goa,India,Little Goa Family Restaurant,15.2771589,73.914527,13048536320857558773,"Little Goa Family Restaurant,Goa,India"
Goa,India,Magic View Restaurant,14.999831900000002,74.02944649999998,15793525619858555832,"Magic View Restaurant,Goa,India"
Goa,India,Maria Paulo Bar'n'Rest,15.0405168,73.9887762,1883838141481763882,"Maria Paulo Bar'n'Rest,Goa,India"
Goa,India,Eddy Place Beach Restaurant,15.21296,73.9314489,10586940632005820495,"Eddy Place Beach Restaurant,Goa,India"
Goa,India,Valankani Restaurant,15.672119899999998,73.7080536,1436846456439066359,"Valankani Restaurant,Goa,India"
Goa,India,Cross Road Restaurant,15.521635,73.76703549999998,11803846999865640052,"Cross Road Restaurant,Goa,India"
Goa,India,St. Antony's Restaurant,15.5364173,73.76410859999999,687020851251332743,"St. Antony's Restaurant,Goa,India"
Goa,India,Come'n'Rest,15.553058600000002,73.7527244,16824832692554714782,"Come'n'Rest,Goa,India"
Goa,India,Peter's Restaurant,15.5411886,73.7562699,4954211177593982543,"Peter's Restaurant,Goa,India"
Goa,India,Gawin's Restaurant & Pub,15.3504779,73.92235,1431366557782789661,"Gawin's Restaurant & Pub,Goa,India"
Goa,India,The Verandah Restaurant,15.495594199999998,73.83143879999999,17524474894633681833,"The Verandah Restaurant,Goa,India"
Goa,India,Camilo's Bar & Restaurant,15.467003899999998,73.80716340000002,8723095803755318431,"Camilo's Bar & Restaurant,Goa,India"
Goa,India,ForRest,15.4976726,73.81911099999998,11844473083154417676,"ForRest,Goa,India"
Goa,India,Shalimar Restaurant,15.496107,73.82292740000003,8215350401900235064,"Shalimar Restaurant,Goa,India"
Goa,India,Kamat Restaurant,15.498576500000002,73.8282422,5105756015886943379,"Kamat Restaurant,Goa,India"
Goa,India,White Rock Restaurant,15.6038065,73.7337646,18303427649956037921,"White Rock Restaurant,Goa,India"
Goa,India,Martin's Multicuisine Bar & Restaurant,15.2749745,73.9581859,6675200167173047194,"Martin's Multicuisine Bar & Restaurant,Goa,India"
Goa,India,SWAD Restaurant,15.2719812,73.9609203,11584336136250738565,"SWAD Restaurant,Goa,India"
Goa,India,Lazaro Corner Restaurant,15.2757041,73.95711209999997,18229551256818829175,"Lazaro Corner Restaurant,Goa,India"
Goa,India,Flavours Restaurant,15.276129699999998,73.9171533,3674127599142257785,"Flavours Restaurant,Goa,India"
Goa,India,La Marina Family Restaurant,15.2749087,73.95932509999999,4466937437537978181,"La Marina Family Restaurant,Goa,India"
Goa,India,La Marina Family Restaurant,15.273212699999998,73.9594108,12178230201176310976,"La Marina Family Restaurant,Goa,India"
Goa,India,La Marina Family Restaurant,15.2741638,73.9593169,7094024044220400588,"La Marina Family Restaurant,Goa,India"
Goa,India,Relax Bar & Restaurant,15.2748196,73.9565843,537234322212867868,"Relax Bar & Restaurant,Goa,India"
Goa,India,Girish Family Restaurant & Bar,15.25911,74.11,16902527000746151370,"Girish Family Restaurant & Bar,Goa,India"
Goa,India,Pereira Pub  & Rest,15.225420000000002,73.93259,16221701185247659221,"Pereira Pub  & Rest,Goa,India"
Goa,India,Antares Restaurant & Beach Club,15.59448,73.734116,14512529912588617668,"Antares Restaurant & Beach Club,Goa,India"
Goa,India,The River Restaurant by Cyrus Todiwala,15.564566,73.74944,10918452587602135877,"The River Restaurant by Cyrus Todiwala,Goa,India"
Goa,India,Ocean World Bar and Restaurant,15.2588269,73.9651754,8658169203781812414,"Ocean World Bar and Restaurant,Goa,India"
Goa,India,Furtados Restaurant and Bar,15.268988,73.95853000000002,9634004991046862757,"Furtados Restaurant and Bar,Goa,India"
Goa,India,Vincy's Place Bar & Restaurant,15.541991,73.75793,10498677299288165478,"Vincy's Place Bar & Restaurant,Goa,India"
